Comparison: Human Development Index 2017,,,
Countries,HDI,HDI Ranking,Ch
United States ,0.928,18º,2
United Kingdom ,0.929,16º,0
Germany ,0.944,5º,0
France ,0.899,25º,0
Japan ,0.916,20º,0
Spain ,0.896,27º,1
Italy ,0.889,31º,2
Portugal ,0.857,41º,-1
Greece ,0.88,33º,1
Ireland ,0.934,12º,-1
Andorra ,0.86,40º,2
United Arab Emirates ,0.898,26º,-10
Afghanistan ,0.485,175º,1
Antigua and Barbuda ,0.824,55º,0
Albania ,0.796,71º,1
Armenia ,0.775,79º,1
Angola ,0.597,146º,1
Argentina ,0.853,45º,0
Austria ,0.914,22º,1
Australia ,0.937,9º,0
Azerbaijan ,0.754,93º,1
Bosnia and Herzegovina ,0.77,81º,1
Barbados ,0.803,64º,0
Bangladesh ,0.622,138º,-1
Belgium ,0.931,15º,0
Burkina Faso ,0.432,185º,-2
Bulgaria ,0.81,62º,4
Bahrain ,0.867,36º,-1
Burundi ,0.422,187º,1
Benin ,0.505,172º,2
Brunei ,0.829,53º,2
Bolivia ,0.707,115º,-1
Brazil ,0.758,91º,0
Bahamas ,0.812,59º,-1
Bhutan ,0.644,132º,-1
Botswana ,0.705,117º,0
Belarus ,0.811,60º,0
Belize ,0.716,107º,1
Canada ,0.929,16º,2
Democratic Republic of the Congo ,0.469,181º,1
Central African Republic ,0.379,190º,-1
Republic of the Congo ,0.6,144º,2
Switzerland ,0.955,2º,0
Côte d'Ivoire ,0.515,169º,-2
Chile ,0.854,44º,2
Cameroon ,0.574,152º,0
China ,0.757,92º,-1
Colombia ,0.765,83º,-1
Costa Rica ,0.8,67º,-2
Cuba ,0.764,86º,2
Cabo Verde ,0.668,124º,1
Cyprus ,0.891,30º,-1
Czechia ,0.896,27º,1
Djibouti ,0.491,174º,-1
Denmark ,0.944,5º,1
Dominica ,0.709,112º,10
Dominican Republic ,0.761,89º,1
Algeria ,0.738,100º,2
Ecuador ,0.762,88º,2
Estonia ,0.886,32º,2
Egypt ,0.709,112º,-1
Eritrea ,0.472,179º,2
Ethiopia ,0.472,179º,-3
Finland ,0.934,12º,0
Fiji ,0.728,104º,-1
Federated States of Micronesia ,0.643,133º,1
Gabon ,0.699,120º,2
Grenada ,0.786,76º,3
Georgia ,0.807,63º,0
Ghana ,0.585,148º,1
The Gambia ,0.477,178º,-1
Guinea ,0.467,182º,2
Equatorial Guinea ,0.65,131º,1
Guatemala ,0.636,134º,0
Guinea-Bissau ,0.479,177º,-1
Guyana ,0.699,120º,-1
Hong Kong ,0.946,4º,-2
Honduras ,0.614,139º,1
Croatia ,0.855,43º,-1
Haiti ,0.557,157º,1
Hungary ,0.846,47º,0
Indonesia ,0.708,114º,-1
Israel ,0.906,24º,0
India ,0.636,134º,-2
Iraq ,0.667,125º,-1
Iran ,0.788,75º,1
Iceland ,0.955,2º,-1
Jamaica ,0.711,110º,0
Jordan ,0.744,95º,-2
Kenya ,0.591,147º,0
Kyrgyzstan ,0.695,122º,0
Cambodia ,0.581,149º,-1
Kiribati ,0.626,137º,0
Comoros ,0.571,153º,-2
Saint Kitts and Nevis ,0.836,48º,0
South Korea ,0.915,21º,-1
Kuwait ,0.835,49º,0
Kazakhstan ,0.802,65º,-3
Laos ,0.612,141º,1
Lebanon ,0.765,83º,-4
Saint Lucia ,0.742,96º,1
Liechtenstein ,0.934,12º,-6
Sri Lanka ,0.77,81º,-1
Liberia ,0.481,176º,0
Lesotho ,0.522,164º,0
Lithuania ,0.878,34º,0
Luxembourg ,0.918,19º,0
Latvia ,0.863,38º,-1
Libya ,0.761,89º,-5
Morocco ,0.671,123º,-2
Moldova ,0.764,86º,-4
Montenegro ,0.833,50º,-2
Madagascar ,0.502,173º,1
Marshall Islands ,0.702,118º,-2
North Macedonia ,0.789,73º,-4
Mali ,0.413,188º,0
Myanmar ,0.58,151º,0
Mongolia ,0.742,96º,0
Mauritania ,0.536,160º,-1
Malta ,0.896,27º,-1
Mauritius ,0.797,70º,-1
Maldives ,0.74,98º,-2
Malawi ,0.506,171º,-1
Mexico ,0.776,78º,0
Malaysia ,0.8,67º,1
Mozambique ,0.45,183º,0
Namibia ,0.634,136º,1
Niger ,0.377,192º,0
Nigeria ,0.528,163º,0
Nicaragua ,0.656,129º,-1
Netherlands ,0.936,10º,-1
Norway ,0.959,1º,0
Nepal ,0.581,149º,0
Nauru ,0.664,127º,0
New Zealand ,0.935,11º,1
Oman ,0.833,50º,1
Panama ,0.814,58º,-2
Peru ,0.765,83º,0
Papua New Guinea ,0.553,158º,0
Philippines ,0.7,119º,1
Pakistan ,0.534,161º,1
Poland ,0.874,35º,2
State of Palestine ,0.718,106º,-1
Palau ,0.786,76º,1
Paraguay ,0.739,99º,0
Qatar ,0.862,39º,-2
Romania ,0.823,56º,0
Serbia ,0.802,65º,0
Russia ,0.827,54º,2
Rwanda ,0.52,166º,2
Saudi Arabia ,0.849,46º,0
Solomon Islands ,0.566,155º,2
Seychelles ,0.798,69º,3
Sudan ,0.52,166º,0
Sweden ,0.941,7º,1
Singapore ,0.938,8º,0
Slovenia ,0.912,23º,0
Slovakia ,0.857,41º,1
Sierra Leone ,0.448,184º,0
San Marino ,0.867,36º,1
Senegal ,0.511,170º,2
Suriname ,0.71,111º,0
South Sudan ,0.378,191º,1
Sao Tome and Principe ,0.604,142º,-1
El Salvador ,0.667,125º,2
Syria ,0.558,156º,-1
Eswatini ,0.601,143º,-3
Chad ,0.389,189º,0
Togo ,0.522,164º,-3
Thailand ,0.795,72º,0
Tajikistan ,0.659,128º,1
Timor-Leste ,0.614,139º,-1
Turkmenistan ,0.729,103º,2
Tunisia ,0.732,102º,0
Tonga ,0.734,101º,-1
Türkiye ,0.833,50º,-2
Trinidad and Tobago ,0.811,60º,2
Tuvalu ,0.651,130º,1
Tanzania ,0.517,168º,-1
Ukraine ,0.771,80º,0
Uganda ,0.534,161º,-1
Uruguay ,0.815,57º,0
Uzbekistan ,0.714,108º,-3
Saint Vincent and the Grenadines ,0.789,73º,-3
Venezuela ,0.75,94º,6
